Timestamp,Stripping Gas,Pressure,Dry Glycol,Glycol Flow,Temperature
3/7/2021 9:00,80.37408447,33,0.43,1.779999971,199.1849976
3/7/2021 21:00,79.60810852,33,0.42,1.779999971,199.3901215
3/8/2021 9:00,80.90634155,31,0.37,1.779999971,200.0852814
3/8/2021 21:00,80.78731537,33,0.34,1.783326149,200.1663361
3/9/2021 9:00,81.92983246,32.19551468,0.38,1.788355589,200.2666321
3/9/2021 21:00,80.46327209,33,0.44,1.725362301,199.1775665
3/10/2021 9:00,80.38557434,32,0.49,1.745488763,199.8337555
3/10/2021 21:00,80.35196686,31.86288452,0.38,1.765569329,199.8044739
3/11/2021 9:00,80.79940033,31.02681541,0.29,1.779999971,199.993103
3/11/2021 21:00,80.97793579,31,0.36,1.779999971,199.7430725
3/12/2021 9:00,80.93837738,31,0.36,1.779999971,199.5240021
3/12/2021 21:00,81.11797333,32,0.34,1.779999971,199.6666107
3/13/2021 9:00,80.49985504,32.22737122,0.35,1.779999971,199.3663635
3/13/2021 21:00,80.51901245,32.99908066,0.34,1.782571316,199.0739746
3/25/2021 9:00,142.5431671,21,0.19,1.789556026,199.0248413
3/25/2021 21:00,141.4767303,21.06949234,0.11,1.779510856,199.6910095
3/26/2021 9:00,142.3803253,21.70218277,0.15,1.769999981,199.5407867
3/26/2021 21:00,141.2400513,24.54399109,0.15,1.769999981,199.6098785
3/27/2021 21:00,17.49423409,17,0.24,1.769999981,197.6356049
3/28/2021 9:00,138.2785034,27.95171547,0.15,1.769999981,199.7345428
3/28/2021 21:00,137.4426727,27,0.27,1.769999981,199.5949402
3/29/2021 9:00,137.4354248,26.99665833,0.21,1.769999981,199.2875061
3/29/2021 21:00,137.6623077,27,0.27,1.769999981,199.5325317
3/30/2021 9:00,137.3058472,26.08333397,0.28,1.769999981,198.828476
3/30/2021 21:00,136.7262115,33.38999939,0.23,1.769999981,199.7509003
3/31/2021 9:00,133.9130249,27.04999924,0.22,1.769999981,198.9328308
3/31/2021 21:00,134.6744995,27.31666756,0.28,1.769999981,199.2891235
4/1/2021 9:00,134.7851715,27,0.26,1.769999981,198.8864899
4/1/2021 21:00,133.8172607,27.57880211,0.36,1.769999981,200.0162506
4/2/2021 9:00,135.8227234,27.46666718,0.32,1.766638875,199.1929474
4/2/2021 21:00,136.5715332,27.86666679,0.2,1.769999981,199.6794128
4/3/2021 9:00,136.8254852,30.66555595,0.16,1.769999981,199.834137
4/3/2021 21:00,136.8896332,27.48430634,0.36,1.769999981,199.544693
4/4/2021 9:00,136.5368347,27.96666718,0.19,1.769999981,199.2935181
4/4/2021 21:00,136.8048859,27.6074028,0.24,1.769999981,199.86763
4/5/2021 9:00,137.3643646,27.67416573,0.19,1.769999981,200.2351379
4/5/2021 21:00,136.9734039,27.83333397,0.17,1.769999981,199.7956085
4/6/2021 9:00,137.2093658,28.61678505,0.22,1.769999981,200.0315552
4/6/2021 21:00,136.9413605,28.26510239,0.27,1.769999981,199.7170105
4/7/2021 9:00,135.53862,28.04999924,0.28,1.769999981,200.09021
4/7/2021 21:00,136.2026825,28.68333244,0.18,1.769999981,199.8300018
4/8/2021 9:00,136.6172485,28.93333244,0.27,1.769999981,199.8552094
4/8/2021 21:00,136.636322,29.29999924,0.53,1.767693043,199.565506
4/9/2021 9:00,137.0009003,29.11101913,0.2,1.769999981,200.4463043
4/9/2021 21:00,136.7622986,28.08356476,0.22,1.769999981,199.9934692
4/10/2021 9:00,135.8952637,30.5,0.17,1.769999981,200.3740082
4/10/2021 21:00,135.4032288,28.89999962,0.33,1.769999981,199.9014893
4/11/2021 9:00,135.2624664,34.77777863,0.4,1.769999981,199.6997681
4/11/2021 21:00,133.5256805,41.90898895,0.35,1.769999981,199.6746521
4/12/2021 9:00,134.9247589,32.23875046,0.58,1.769999981,198.4337616
4/12/2021 21:00,135.2415924,28.29994202,0.6,1.769999981,199.0353546
4/13/2021 9:00,135.2531281,29.37361145,0.44,1.769999981,198.8283844
4/13/2021 21:00,135.3191376,28.63333321,0.35,1.769999981,199.7914886
4/14/2021 9:00,136.0135651,28.0796299,0.54,1.769999981,200.8815918
4/14/2021 21:00,135.1608734,27.46366692,0.3,1.769999981,200.3858032
4/15/2021 9:00,135.358551,27.76444435,0.58,1.769999981,200.2429962
4/15/2021 21:00,134.9290771,29,0.26,1.769999981,199.9450836
4/16/2021 9:00,135.0173187,29.08333397,0.63,1.768648863,199.6167145
4/16/2021 21:00,134.4931641,29,0.33,1.769999981,199.9991455
4/17/2021 9:00,134.2281494,29.99999809,0.49,1.769999981,199.9677734
4/17/2021 21:00,133.8076477,29.23016357,0.24,1.769999981,199.9320374
4/18/2021 9:00,134.3874207,29.03333282,0.32,1.769638896,200.4339294
4/18/2021 21:00,134.256958,35.47083282,0.32,1.769999981,199.7476654
4/19/2021 9:00,134.3780518,28.96666718,0.35,1.767390609,199.1091919
4/19/2021 21:00,134.718811,28.9858551,0.38,1.769999981,199.451355
4/20/2021 9:00,133.9412384,29.78164673,0.43,1.75999999,198.2717438
4/20/2021 21:00,134.0644989,29.03333282,0.37,1.75999999,198.9264832
4/21/2021 9:00,133.8432922,28.95013809,0.49,1.75999999,195.2229614
4/21/2021 21:00,133.680542,29.21305466,0.53,1.75999999,202.3497314
4/22/2021 9:00,133.736557,27.98333359,0.43,1.75999999,200.5470581
4/22/2021 21:00,133.9649658,28.43694496,0.23,1.75999999,200.7125549
4/23/2021 9:00,133.6770935,28.97522736,0.29,1.75999999,199.7843018
4/23/2021 21:00,134.169632,27.83333397,0.35,1.75999999,200.1590118
4/24/2021 9:00,133.5445862,29.63266373,0.48,1.75999999,200.2599182
4/24/2021 21:00,11.79401398,18.92027855,0.63,1.768365264,199.7174683
4/25/2021 9:00,133.8541412,37.05722046,0.81,1.764315605,200.4775238
4/25/2021 21:00,13.62042141,15.98333359,0.86,1.762969375,200.0505981
4/26/2021 9:00,57.42596817,31.39166641,1.57,1.75999999,199.3584747
4/26/2021 21:00,134.1950684,29.85000038,0.46,1.75999999,199.449585
4/27/2021 9:00,133.618576,30.06666756,0.41,1.75999999,198.7887268
4/27/2021 21:00,134.0460968,29.18333244,0.26,1.75999999,198.4295197
4/28/2021 9:00,133.76091,29.37513924,0.2,1.764667749,199.7202148
4/28/2021 21:00,133.2881317,30,0.49,1.762746453,198.9828339
4/29/2021 9:00,134.1667023,29.34166718,0.4,1.765299559,199.4606628
4/29/2021 21:00,133.5726776,29.80926895,0.26,1.768003106,199.3149261
4/30/2021 9:00,132.1748047,29.40008354,0.22,1.760183334,199.6066132
4/30/2021 21:00,130.1823425,41.07316589,0.25,1.760825038,199.1357727
5/1/2021 21:00,131.343338,28.28125,0.25,0,200.0337982
5/2/2021 9:00,132.3918457,22.98333359,0.18,1.77400279,191.3522186
5/2/2021 21:00,135.8750763,26,0.12,1.76588881,199.3535767
5/3/2021 9:00,136.440979,27.04999924,0.16,1.768188477,200.5413208
5/3/2021 21:00,135.8210754,28.51874924,0.27,1.769999981,200.0961456
5/4/2021 9:00,135.7230072,24.11666679,0.21,1.769159675,200.2749939
5/4/2021 21:00,135.2954254,28.75208282,0.29,1.769159675,200.1846161
5/5/2021 9:00,135.394989,23.91666603,0.39,1.769373536,199.8999634
5/5/2021 21:00,135.0990448,28.81447792,0.2,1.779999495,200.0301208
5/6/2021 9:00,134.9900055,27.00208282,0.71,1.769159675,199.8173065
5/6/2021 21:00,135.0149231,28.35000038,0.13,1.768627763,199.3487701
5/7/2021 9:00,135.0856018,27.48333359,0.56,1.75999999,199.4343719
5/7/2021 21:00,135.3502197,24.93541718,0.16,1.763769388,199.7934113
5/8/2021 9:00,134.9902344,26.03333282,0.37,1.75999999,199.771286
5/11/2021 9:00,134.6790924,28.14085388,0.11,1.75999999,199.9524689
5/11/2021 21:00,134.5151062,29.12579155,0.23,1.779908299,199.6358795
5/12/2021 9:00,134.4937439,29,0.19,1.77218473,199.34198
5/12/2021 21:00,133.5668182,47.81666565,0.8,3.481171131,199.2458496
5/13/2021 9:00,133.5621948,35.90916824,0.63,3.502054811,199.2427521
5/13/2021 21:00,134.307663,28.85763931,0.7,1.850000024,199.9095001
5/14/2021 9:00,131.3266296,27.91666603,0.25,1.850000024,200.0501709
5/14/2021 21:00,131.4442902,28.76666641,0.34,1.849205613,200.1501312
5/15/2021 9:00,130.92453,29.09083366,0.63,1.843969464,199.9848785
5/15/2021 21:00,130.7012177,33.62083435,0.68,1.846414447,199.6940002
5/16/2021 9:00,130.3672638,30.33333397,0.68,1.818076372,199.6623535
5/18/2021 21:00,130.6361389,28.25097275,0.27,1.854459286,199.3163147
5/19/2021 9:00,130.7080383,25.79111099,0.19,1.847350121,199.3116302
5/19/2021 21:00,130.6399994,29,0.35,1.842658758,199.5021973
5/20/2021 9:00,130.4820099,30,0.25,1.84645164,199.4807892
5/20/2021 21:00,130.5512238,30.93823242,0.45,1.845026374,199.7197571
5/21/2021 9:00,130.5611725,30.10000038,0.35,1.843835711,199.7542419
5/21/2021 21:00,130.3867645,31.98333359,0.49,1.845448613,199.5286255
5/22/2021 9:00,130.2852783,32.04999924,0.45,1.870000005,199.5288239
5/22/2021 21:00,130.5349884,32,0.2,1.870000005,199.4527435
5/23/2021 9:00,130.6076965,32,0.28,1.870000005,199.2557678
5/23/2021 21:00,130.2718353,32.21030426,0.47,1.870000005,199.3584747
5/24/2021 9:00,130.1796875,32.62291718,0.41,1.870000005,198.8048706
5/24/2021 21:00,130.1600952,32.41016388,0.29,1.870000005,199.4666901
5/25/2021 9:00,129.7080231,32.13333511,0.48,1.870000005,200.0827179
5/25/2021 21:00,129.4749908,31.92305565,0.34,1.870000005,203.1806641
5/26/2021 9:00,130.4756775,31.28347206,0.22,1.769999981,200.03125
5/26/2021 21:00,130.6680908,31.10000038,0.23,1.770428061,199.8504639
